,state,total_carbon_offset_metric_tons,percent_carbon_sources,adjusted_carbon_offset_metric_tons,renewable_energy_sources
0,Alabama,15800000.0,0.6679999999999999,10554399.999999998,5245600.000000002
1,Alaska,449958.7974,0.711,319920.7049514,130038.09244859999
2,Arizona,25400000.0,0.596,15138400.0,10261600.0
3,Arkansas,7162306.227999999,0.718,5142535.871703999,2019770.356296
4,California,67100000.0,0.535,35898500.0,31201500.0
5,Colorado,15000000.0,0.787,11805000.0,3195000.0
6,Connecticut,5385432.797,0.539,2902748.2775830003,2482684.519417
7,Delaware,2047689.2040000001,0.9940000000000001,2035403.0687760003,12286.135223999852
8,District of Columbia,768728.0745,1.0,768728.0745,0.0
9,Florida,84800000.0,0.875,74200000.0,10600000.0
10,Georgia,26800000.0,0.72,19296000.0,7504000.0
11,Hawaii,4666457.001,0.892,4162479.644892,503977.35610800004
12,Idaho,2001480.636,0.252,504373.120272,1497107.515728
13,Illinois,39000000.0,0.41600000000000004,16224000.000000002,22776000.0
14,Indiana,22300000.0,0.945,21073500.0,1226500.0
15,Iowa,4480709.137,0.528,2365814.4243360003,2114894.7126639998
16,Kansas,8248164.194,0.53,4371527.022820001,3876637.1711799996
17,Kentucky,10900000.0,0.9570000000000001,10431300.0,468700.0
18,Louisiana,16100000.0,0.8290000000000001,13346900.000000002,2753099.999999998
19,Maine,951467.7454,0.595,566123.308513,385344.436887
20,Maryland,9341893.475,0.546,5100673.837350001,4241219.637649999
21,Massachusetts,8448823.791000001,0.7979999999999999,6742161.385218,1706662.405782001
22,Michigan,32200000.0,0.669,21541800.0,10658200.0
23,Minnesota,9461269.604,0.574,5430768.752696,4030500.8513040002
24,Mississippi,6675246.399,0.9059999999999999,6047773.237493999,627473.1615060009
25,Missouri,21000000.0,0.847,17787000.0,3213000.0
26,Montana,721128.5005,0.56,403831.96028,317296.54021999997
27,Nebraska,3407555.482,0.605,2061571.0666099999,1345984.41539
28,Nevada,6552267.615,0.795,5209052.753925,1343214.861075
29,New Hampshire,1106392.338,0.36,398301.24168,708091.09632
30,New Jersey,21400000.0,0.605,12947000.0,8453000.0
31,New Mexico,5193766.819,0.862,4477026.997978,716739.8210220002
32,New York,21900000.0,0.46299999999999997,10139700.0,11760300.0
33,North Carolina,23400000.0,0.613,14344200.0,9055800.0
34,North Dakota,1164890.416,0.7340000000000001,855029.5653440001,309860.85065599985
35,Ohio,40000000.0,0.843,33720000.0,6280000.0
36,Oklahoma,13700000.0,0.713,9768100.0,3931900.0
37,Oregon,4391352.901000001,0.303,1330579.929003,3060772.9719970003
38,Pennsylvania,25700000.0,0.589,15137300.0,10562700.0
39,Rhode Island,1613670.239,0.41100000000000003,663218.4682290001,950451.770771
40,South Carolina,15100000.0,0.292,4409200.0,10690800.0
41,South Dakota,1047973.796,0.5489999999999999,575337.6140039999,472636.1819960001
42,Tennessee,23700000.0,0.7759999999999999,18391199.999999996,5308800.000000004
43,Texas,80000000.0,0.9179999999999999,73440000.0,6560000.0
44,Utah,4055086.383,0.675,2737183.3085250002,1317903.0744749997
45,Vermont,238985.907,0.158,37759.773306,201226.13369400002
46,Virginia,14600000.0,0.253,3693800.0,10906200.0
47,Washington,7305369.816000001,0.777,5676272.347032,1629097.4689680003
48,West Virginia,2708875.483,0.885,2397354.802455,311520.6805449999
49,Wisconsin,18500000.0,0.96,17760000.0,740000.0
50,Wyoming,399567.8101,0.67,267710.432767,131857.377333
